industry_code,industry_name,sector_name,job_title,job_description,key_skills,responsibilities
5121,Motion Picture and Video Industries,Information (Technology & Media),Film Director,"A Film Director oversees the creative aspects of a film. They develop a vision for the film, guide actors and crew members to fulfill that vision, and ensure the film's thematic and visual coherence. They are also involved in the film's post-production process to ensure the final product matches their vision.","Creative Vision, Leadership, Communication, Problem-Solving, Technical Understanding of Film Production, Script Analysis, Resilience under Pressure","Interpreting the script and developing a creative vision for the film, Directing actors to portray characters effectively, Coordinating with the production crew to execute the vision, Supervising the post-production process to maintain thematic and visual consistency, Resolving any creative or technical challenges that arise during production"
5121,Motion Picture and Video Industries,Information (Technology & Media),Screenwriter,"A Screenwriter in the Motion Picture and Video Industries is primarily responsible for creating and developing stories to be produced into films or videos. They translate narratives into a script format, working closely with directors and producers to ensure creative alignment.","Strong Writing Skills, Creativity, Storytelling Abilities, Research Skills, Attention to Detail, Ability to Work Under Pressure, Collaboration and Communication Skills","Developing engaging stories and ideas, Writing scripts for films or videos, Undertaking detailed research to ensure accuracy of content, Working collaboratively with directors and producers, Revising and rewriting scripts based on feedback, Ensuring compliance with industry standards and regulations"
5121,Motion Picture and Video Industries,Information (Technology & Media),Cinematographer,"A Cinematographer, also known as a Director of Photography, works in the Motion Picture and Video Industries to visually tell a story. They are responsible for determining how each scene in a movie, TV show, or video will look on camera, focusing on lighting, camera angles, and camera movement.","Visual storytelling, Knowledge of camera equipment, Lighting techniques, Attention to detail, Creativity, Teamwork, Problem-solving","Determining the visual look of a film, Selecting appropriate camera equipment, Directing camera crew, Collaborating with the director to achieve desired look, Planning and executing complex camera moves, Balancing practical and aesthetic considerations in lighting"
5121,Motion Picture and Video Industries,Information (Technology & Media),Film Editor,"A Film Editor in the Motion Picture and Video Industries is responsible for assembling recorded raw material into a finished product that's suitable for broadcasting. The material may include camera footage, dialogue, sound effects, graphics and special effects. This is a key role in the post-production process and the editor's skill can determine the quality and delivery of the final product.","Proficient in Film Editing Software (like Adobe Premiere Pro and Final Cut Pro), Storytelling Ability, Attention to Detail, Creativity, Time Management, Strong Visual Sense, Excellent Communication Skills","Reviewing raw material to determine shot list, Manipulating film and video footage using modern editing techniques, Maintaining continuity while moving shots according to scene value, Trimming footage and putting together the rough project, Adding special effects needed for the final sequence"
5121,Motion Picture and Video Industries,Information (Technology & Media),Production Designer,"A Production Designer in the motion picture and video industries oversees the visual concept of a film, television or stage production. They work closely with the director and the cinematographer to create the aesthetic 'world' of the production and manage the art and design department.","Strong visual storytelling skills, Proficiency in design software (like Adobe Creative Suite), Knowledge of film production process, Excellent problem-solving skills, Strong communication and collaboration skills, Ability to work under tight deadlines, Attention to detail","Developing a visual concept for the production, Collaborating with directors and cinematographers, Supervising the art and design department, Researching and preparing design plans, Managing budgets and schedules, Overseeing the creation of sets, costumes, graphics, and props"
5121,Motion Picture and Video Industries,Information (Technology & Media),Sound Designer,A Sound Designer in the Motion Picture and Video Industries is responsible for creating and manipulating audio elements in films or videos. Their primary role involves designing unique sounds that enhance the visual content and overall storytelling. They work closely with the director and production team to establish the appropriate sonic aesthetic.,"Audio production, Sound editing, Creativity, Detail-oriented, Collaboration, Knowledge of audio software, Problem-solving","Design and implement unique audio content, Collaborate with directors and producers to understand sound requirements, Edit and mix soundtracks, Maintain audio equipment, Stay updated with latest sound technologies and techniques"
5121,Motion Picture and Video Industries,Information (Technology & Media),Visual Effects Artist,"A Visual Effects Artist in the Motion Picture and Video Industries creates and integrates special effects into video content. Their main purpose is to enhance narratives and visual storytelling using digital and graphical effects. Key focus areas include visual design, 3D modeling, and animation.","Proficiency in visual effects software (like Adobe After Effects, Maya, Nuke), 3D Modeling and Animation, Creativity and artistic ability, Detail-oriented, Strong understanding of color, texture, and light, Teamwork, Problem-solving skills","Designing and implementing high-quality visual effects for storytelling, Collaborating with director and other artists to understand visual requirements, Developing complex 3D models and animations, Adjusting effects to enhance the quality and accuracy of projects, Troubleshooting any issues that arise during the production process"
5121,Motion Picture and Video Industries,Information (Technology & Media),Actor/Actress,"An actor/actress in the motion picture and video industries performs roles in film productions, portraying characters and expressing emotions in line with the script and director's vision. Their main purpose is to bring life to a character in a story, connecting with the audience through a compelling performance.","Emotional Intelligence, Physical Stamina, Creativity, Memorization Skills, Collaboration, Communication Skills, Persistence","Reading and interpreting scripts, Auditioning for roles, Rehearsing roles and learning lines, Collaborating with directors and other actors to develop characters, Performing in front of cameras and audiences"
5121,Motion Picture and Video Industries,Information (Technology & Media),Film Producer,"A Film Producer in the Motion Picture and Video Industries is responsible for overseeing all aspects of a film's creation, from development to distribution. They coordinate the project's various elements, make crucial creative and financial decisions, and ensure that the film is completed on time and within budget.","Project Management, Financial Budgeting, Creative Vision, Interpersonal Skills, Problem-Solving, Negotiating, Knowledge of Film Industry Trends and Technology","Developing project from initial concept through distribution, Managing production budget and schedule, Coordinating with directors, writers, and other creative professionals, Securing funding for the project, Overseeing marketing and distribution strategies"
5121,Motion Picture and Video Industries,Information (Technology & Media),Location Manager,"A Location Manager in the Motion Picture and Video Industries manages the aspects related to finding and securing locations for film shoots. They are responsible for the practical logistics of producing a film on location, such as obtaining necessary permissions, liaising with local authorities, and managing budgets related to location costs.","Excellent communication skills, Strong negotiation skills, Good knowledge of geography and locations, Understanding of local laws and regulations, Budget management skills, Problem-solving abilities, Attention to detail","Scouting for suitable locations for film shoots, Negotiating with property owners and local authorities for permits and access, Managing location budgets, Ensuring locations are left in their original state post-shoot, Coordinating logistics related to location shoots"
